TimeSeries ID,train,validation
593,0.9776101112365723,0.9772432115342882
592,0.9769160151481628,undefined
591,0.9740154147148132,undefined
590,0.9743396639823914,undefined
589,0.974384605884552,undefined
588,0.9767460823059082,undefined
587,0.9772876501083374,undefined
586,0.9732995629310608,undefined
585,0.9761844873428345,undefined
584,0.9765994548797607,undefined
583,0.9761704802513123,undefined
582,0.9744953513145447,undefined
581,0.9772651791572571,undefined
580,0.9749501347541809,undefined
579,0.9778584837913513,undefined
578,0.9775562882423401,undefined
577,0.9768134951591492,undefined
576,0.9783822894096375,undefined
575,0.9744611978530884,undefined
574,0.9785436391830444,undefined
573,0.9780219793319702,undefined
572,0.9755098223686218,undefined
571,0.9780676960945129,undefined
570,0.9756097793579102,undefined
569,0.9774985313415527,undefined
568,0.9775465726852417,undefined
567,0.9794361591339111,undefined
566,0.9743527770042419,undefined
565,0.9789183139801025,undefined
564,0.9750385880470276,undefined
563,0.9784806370735168,undefined
562,0.9772390723228455,undefined
561,0.976178765296936,undefined
560,0.9774890542030334,undefined
559,0.9755045771598816,undefined
558,0.972646176815033,undefined
557,0.9762836694717407,undefined
556,0.9776601195335388,undefined
555,0.9760979413986206,undefined
554,0.9775179028511047,undefined
553,0.9780644178390503,undefined
552,0.977762758731842,undefined
551,0.9772819876670837,undefined
550,0.9753583073616028,undefined
549,0.9750968813896179,undefined
548,0.9777304530143738,undefined
547,0.9768022894859314,undefined
546,0.977954089641571,undefined
545,0.9767382740974426,undefined
544,0.9770349264144897,undefined
543,0.9755505919456482,undefined
542,0.9769952893257141,undefined
541,0.9772466421127319,undefined
540,0.9776468276977539,undefined
539,0.9784208536148071,undefined
538,0.9777958989143372,undefined
537,0.9756721258163452,undefined
536,0.9758132100105286,undefined
535,0.9741300344467163,undefined
534,0.9780584573745728,undefined
533,0.9790987968444824,undefined
532,0.9764028787612915,undefined
531,0.9757121205329895,undefined
530,0.974013090133667,undefined
529,0.9766553640365601,undefined
528,0.9751532077789307,undefined
527,0.9758855104446411,undefined
526,0.975352942943573,undefined
525,0.9780148267745972,undefined
524,0.9739993214607239,undefined
523,0.9765426516532898,undefined
522,0.976792573928833,undefined
521,0.9770038723945618,undefined
520,0.9753300547599792,undefined
519,0.9749317765235901,undefined
518,0.9777129292488098,undefined
517,0.9772578477859497,undefined
516,0.9735924601554871,undefined
515,0.9759036898612976,undefined
514,0.9766543507575989,undefined
513,0.9781761169433594,undefined
512,0.9770105481147766,undefined
511,0.9750206470489502,undefined
510,0.9755734801292419,undefined
509,0.9767769575119019,undefined
508,0.9786003828048706,undefined
507,0.9763041138648987,undefined
506,0.9768003225326538,undefined
505,0.9788423180580139,undefined
504,0.9783387780189514,undefined
503,0.9742048978805542,undefined
502,0.9748567342758179,undefined
501,0.9750428199768066,undefined
500,0.9756367206573486,0.9770034154256185
499,0.9780174493789673,undefined
498,0.9771349430084229,undefined
497,0.9764677286148071,undefined
496,0.9762417674064636,undefined
495,0.9749513864517212,undefined
494,0.975593626499176,undefined
493,0.9771209955215454,undefined
492,0.9776101112365723,undefined
491,0.9767404794692993,undefined
490,0.9773005843162537,undefined
489,0.9766797423362732,undefined
488,0.9748557209968567,undefined
487,0.9780174493789673,undefined
486,0.9779813885688782,undefined
485,0.9768069982528687,undefined
484,0.9768806099891663,undefined
483,0.976530909538269,undefined
482,0.9739130735397339,undefined
481,0.9761307239532471,undefined
480,0.9756379723548889,undefined
479,0.9755421280860901,undefined
478,0.9790495038032532,undefined
477,0.9748276472091675,undefined
476,0.9764925837516785,undefined
475,0.9761767387390137,undefined
474,0.9780246615409851,undefined
473,0.9766237735748291,undefined
472,0.9777235984802246,undefined
471,0.9764317870140076,undefined
470,0.9786548018455505,undefined
469,0.9753636717796326,undefined
468,0.9782030582427979,undefined
467,0.9769287109375,undefined
466,0.9800198674201965,undefined
465,0.9757546186447144,undefined
464,0.9729182720184326,undefined
463,0.976336658000946,undefined
462,0.9767555594444275,undefined
461,0.9733344316482544,undefined
460,0.9751864671707153,undefined
459,0.975519597530365,undefined
458,0.9774652719497681,undefined
457,0.9772272706031799,undefined
456,0.9765806198120117,undefined
455,0.9761232137680054,undefined
454,0.9767498970031738,undefined
453,0.9771428108215332,undefined
452,0.9768507480621338,undefined
451,0.9789332747459412,undefined
450,0.9728533625602722,undefined
449,0.9768577218055725,undefined
448,0.9761212468147278,undefined
447,0.9768399000167847,undefined
446,0.9779399633407593,undefined
445,0.976585328578949,undefined
444,0.9777997136116028,undefined
443,0.9753682017326355,undefined
442,0.977587103843689,undefined
441,0.9760366082191467,undefined
440,0.976398229598999,undefined
439,0.9784849286079407,undefined
438,0.9772518873214722,undefined
437,0.978821873664856,undefined
436,0.9752135276794434,undefined
435,0.9756830930709839,undefined
434,0.9721391201019287,undefined
433,0.976435661315918,undefined
432,0.9761345982551575,undefined
431,0.9780630469322205,undefined
430,0.9747198224067688,undefined
429,0.9736202955245972,undefined
428,0.9760348796844482,undefined
427,0.9756321310997009,undefined
426,0.9769027829170227,undefined
425,0.9774852991104126,undefined
424,0.974862277507782,undefined
423,0.976155161857605,undefined
422,0.9776578545570374,undefined
421,0.9770228862762451,undefined
420,0.9739152789115906,undefined
419,0.9769224524497986,undefined
418,0.9767518043518066,undefined
417,0.9763661026954651,undefined
416,0.9765968322753906,undefined
415,0.9792466163635254,undefined
414,0.9762381315231323,undefined
413,0.9777704477310181,undefined
412,0.9773155450820923,undefined
411,0.9743914008140564,undefined
410,0.9756036400794983,undefined
409,0.9783063530921936,undefined
408,0.9781574010848999,undefined
407,0.9762461185455322,undefined
406,0.976080596446991,undefined
405,0.9759513735771179,undefined
404,0.9752846956253052,undefined
403,0.9759729504585266,undefined
402,0.976809024810791,undefined
401,0.9762079119682312,undefined
400,0.9759848713874817,0.9759171803792318
399,0.9755476117134094,undefined
398,0.978147566318512,undefined
397,0.9744973182678223,undefined
396,0.9749301075935364,undefined
395,0.9744833707809448,undefined
394,0.978688657283783,undefined
393,0.9751513004302979,undefined
392,0.9784811735153198,undefined
391,0.9739286303520203,undefined
390,0.9764103889465332,undefined
389,0.9727902412414551,undefined
388,0.9765273928642273,undefined
387,0.9774700403213501,undefined
386,0.9777225852012634,undefined
385,0.9765344858169556,undefined
384,0.9752187728881836,undefined
383,0.9758896827697754,undefined
382,0.9746761322021484,undefined
381,0.9740161299705505,undefined
380,0.976120114326477,undefined
379,0.9771528840065002,undefined
378,0.9780864715576172,undefined
377,0.9764987230300903,undefined
376,0.9753247499465942,undefined
375,0.9730625748634338,undefined
374,0.9761767387390137,undefined
373,0.9780018329620361,undefined
372,0.9742634892463684,undefined
371,0.9768009781837463,undefined
370,0.9781292080879211,undefined
369,0.9779171943664551,undefined
368,0.976763129234314,undefined
367,0.9759771823883057,undefined
366,0.9773581624031067,undefined
365,0.9768707752227783,undefined
364,0.976138174533844,undefined
363,0.975982129573822,undefined
362,0.9743271470069885,undefined
361,0.9746298789978027,undefined
360,0.9750796556472778,undefined
359,0.9765974879264832,undefined
358,0.9760000109672546,undefined
357,0.9729752540588379,undefined
356,0.9752830266952515,undefined
355,0.9773538112640381,undefined
354,0.9763199687004089,undefined
353,0.975684642791748,undefined
352,0.9755509495735168,undefined
351,0.9761962294578552,undefined
350,0.9755501747131348,undefined
349,0.978718101978302,undefined
348,0.9743398427963257,undefined
347,0.9748961329460144,undefined
346,0.9771225452423096,undefined
345,0.9765747785568237,undefined
344,0.9769962430000305,undefined
343,0.9736753702163696,undefined
342,0.9730509519577026,undefined
